,form_name,form_status,Calcium Carbonate,Water 1,PCAT_Gee-pt/g-c3n4,PCAT_Gee-T/M/W,form_datetime,sample_name,Baratron Avg,calc % N2 Avg,calc % H2 Avg,calc % H2 2STD,calc % H2 umol,calc % H2 umol/h,calc % O2 Avg,calc % O2 2STD,calc % O2 umol,calc % O2 umol/h,calc % Ar Avg,calc % CO2 Avg
317611,250221_JCG_8plate_4hour_1,Complete,,,0.00526,5,2021-02-25 20:20:25,PlateAgilent 1_Vial1,0.942527,93.18712243602758,2.8231055752491248,0.006837364200583909,7.694695549000477,1.9236738872501193,2.913218019100522,0.16000341082681135,7.9403072706066435,1.9850768176516609,0.10035178660026664,0.9762021830225167
317612,250221_JCG_8plate_4hour_2,Complete,0.0055,5,,,2021-02-25 20:36:16,PlateAgilent 1_Vial2,0.878402,99.11095272198045,0.09144158034741634,0.006080019278003681,0.24923443439792137,0.06230860859948034,0.7193932472769891,0.0541184749152465,1.9607881711312787,0.49019704278281967,0.04063609472165337,0.03757635567347789
317613,250221_JCG_8plate_4hour_3,Complete,0.00477,5,,,2021-02-25 20:52:35,PlateAgilent 1_Vial3,0.878402,99.42628524228024,0.0693874392334235,0.004671749395599359,0.1891233627629564,0.0472808406907391,0.44083063340978396,0.033377986994971694,1.2015340632317635,0.30038351580794087,0.0416862067104162,0.021810478366114994
317614,250221_JCG_8plate_4hour_4,Complete,0.00491,5,,,2021-02-25 21:09:12,PlateAgilent 1_Vial4,0.873527,99.51301331848046,0.06077893540597733,0.004133765052923033,0.16565990582909437,0.04141497645727359,0.36779131286288724,0.024691810493633202,1.0024570823205448,0.2506142705801362,0.040958692633788374,0.01745774061688538
317615,250221_JCG_8plate_4hour_5,Complete,,,0.00503,5,2021-02-25 21:25:20,PlateAgilent 1_Vial5,0.9342020000000001,93.88641178977807,2.6425103619079393,0.04648498167633943,7.202462741113162,1.8006156852782904,2.5061471010971417,0.15547159402238458,6.830789153980154,1.7076972884950385,0.1001321789750326,0.8647985682418111
317616,250221_JCG_8plate_4hour_6,Complete,0.00523,5,,,2021-02-25 21:41:17,PlateAgilent 1_Vial6,0.8714270000000001,99.19165237548488,0.08262262381737061,0.005357110833852584,0.2251973646710539,0.05629934116776347,0.6526250515955735,0.04856586831591467,1.7788038547710077,0.4447009636927519,0.040865066371252534,0.03223488273092276
317617,250221_JCG_8plate_4hour_7,Complete,0.00454,5,,,2021-02-25 21:57:34,PlateAgilent 1_Vial7,0.861677,99.45730693242876,0.06321372997696517,0.004245302146780921,0.1722962155414782,0.04307405388536955,0.4187050858625012,0.03228851037264769,1.1412283652359487,0.2853070913089872,0.040906088696145315,0.019868163035612903
317618,250221_JCG_8plate_4hour_8,Complete,0.00496,5,,,2021-02-25 22:14:15,PlateAgilent 1_Vial8,0.850577,99.53187368963833,0.05726119609186986,0.0035184093964550326,0.15607190696709,0.0390179767417725,0.3542848656979254,0.023361341298329865,0.9656437233749194,0.24141093084372986,0.03982290774075176,0.016757340831122493
317619,250221_JCG_8plate_4hour_9,Complete,0.00495,5,,,2021-02-25 22:31:22,PlateAgilent 1_Vial9,0.8532770000000001,99.56216847548697,0.05313775926207748,0.0034870752951327694,0.144833010590362,0.0362082526475905,0.32874818376947823,0.02043897521639806,0.896040590394771,0.22401014759869275,0.03991516932247151,0.016030412159001924
317620,250221_JCG_8plate_4hour_10,Complete,0.00492,5,,,2021-02-25 22:48:33,PlateAgilent 1_Vial10,0.8532770000000001,99.58381634858011,0.05061080890063594,0.003172849053606608,0.1379455197826498,0.03448637994566245,0.3113263288111984,0.01828101569830628,0.8485553418875564,0.2121388354718891,0.039177712212042165,0.015068801496016701
317621,250221_JCG_8plate_4hour_11,Complete,,,0.00497,5,2021-02-25 23:04:55,PlateAgilent 1_Vial11,0.8979020000000001,94.00307803143222,2.796474913732388,0.06388267322667891,7.6221106501442994,1.9055276625360749,2.3069659087388814,0.1427972752090629,6.2878981449719396,1.5719745362429849,0.09776412307569626,0.7957170230208107
317622,250221_JCG_8plate_4hour_12,Complete,0.00474,5,,,2021-02-25 23:20:52,PlateAgilent 1_Vial12,0.850577,99.24623242514777,0.07629674708551357,0.004852285531724025,0.20795546767687195,0.05198886691921799,0.6083473601625435,0.045790325329256,1.658119967431907,0.41452999185797673,0.03931084152841245,0.029812626075758637
317623,250221_JCG_8plate_4hour_13,Complete,0.00522,5,,,2021-02-25 23:37:24,PlateAgilent 1_Vial13,0.8532770000000001,99.48941812079596,0.05799766374728814,0.003836815642755805,0.15807923338088517,0.03951980834522129,0.39383680003109917,0.028120403622755905,1.0734470218898802,0.26836175547247004,0.03918959004420776,0.019557825381445078
317624,250221_JCG_8plate_4hour_14,Complete,0.00513,5,,,2021-02-25 23:53:57,PlateAgilent 1_Vial14,0.850577,99.55299413793642,0.05148368575685182,0.0031211122808948995,0.14032464499824052,0.03508116124956013,0.33953215493633293,0.020696188909662034,0.9254335311567629,0.23135838278919071,0.03920557840507387,0.016784442965318006
317625,250221_JCG_8plate_4hour_15,Complete,,,0.005,5,2021-02-26 00:10:17,PlateAgilent 1_Vial15,0.8979020000000001,93.9041450713229,2.7914665678571495,0.05660992366922252,7.608459833450825,1.9021149583627062,2.388403170927919,0.14463407698724154,6.509864671616441,1.6274661679041103,0.098520790613187,0.817464399278854
317626,250221_JCG_8plate_4hour_16,Complete,,,0.00507,5,2021-02-26 00:27:06,PlateAgilent 2_Vial1,0.900752,93.36717398403886,2.8361365195486616,0.06449245416979443,7.730212870768392,1.932553217692098,2.8282994334744407,0.1360457548538428,7.708852000717644,1.927213000179411,0.0993770512290244,0.8690130117090163
317627,250221_JCG_8plate_4hour_17,Complete,0.00482,5,,,2021-02-26 00:42:57,PlateAgilent 2_Vial2,0.858902,99.0975516836022,0.08643255865425056,0.005730921825848397,0.23558177568576946,0.058895443921442366,0.7428816572391321,0.05334810527948506,2.0248085057490703,0.5062021264372676,0.03855887120657082,0.0345752292978526
317628,250221_JCG_8plate_4hour_18,Complete,0.00484,5,,,2021-02-26 00:59:16,PlateAgilent 2_Vial3,0.8561270000000001,99.416986503813,0.06304985682132232,0.004153062484490764,0.17184956060502068,0.04296239015125517,0.45930201361633594,0.03369455634121687,1.2518799122518478,0.31296997806296195,0.03893521733601524,0.021726408413323864
317629,250221_JCG_8plate_4hour_19,Complete,0.00492,5,,,2021-02-26 01:16:00,PlateAgilent 2_Vial4,0.8532770000000001,99.52023182513989,0.0549589740049885,0.003297925614047072,0.14979693864849525,0.03744923466212381,0.3689802067541406,0.025766277352517703,1.005697547931702,0.2514243869829255,0.03766809254011255,0.018160901560875194
317630,250221_JCG_8plate_4hour_20,Complete,,,0.00484,5,2021-02-26 01:32:15,PlateAgilent 2_Vial5,0.8979020000000001,93.77698625512322,2.8674131315808293,0.06259742251635869,7.815460836519904,1.953865209129976,2.4310682837094824,0.1399634849659632,6.626153292309958,1.6565383230774895,0.09701507927862914,0.8275172503078392
317631,250221_JCG_8plate_4hour_21,Complete,0.00519,5,,,2021-02-26 01:48:12,PlateAgilent 2_Vial6,0.8561270000000001,99.20735432852214,0.07880739040297247,0.005287646863739614,0.21479851178027007,0.05369962794506752,0.6436199558932266,0.04795751694638738,1.7542594415451376,0.4385648603862844,0.03834869808025621,0.03186962710141208
317632,250221_JCG_8plate_4hour_22,Complete,0.00487,5,,,2021-02-26 02:04:33,PlateAgilent 2_Vial7,0.844952,99.46472163113587,0.05946259486377216,0.0037114334432907198,0.16207206986579314,0.040518017466448286,0.4169566526567785,0.029743256390766526,1.136462811540844,0.284115702885211,0.038554894778102956,0.020304226565469544
317633,250221_JCG_8plate_4hour_23,Complete,0.00513,5,,,2021-02-26 02:21:15,PlateAgilent 2_Vial8,0.857861375,99.54673597609059,0.05116825535826386,0.003183123457098729,0.13946490354708346,0.034866225886770866,0.3474605122642346,0.024635540047396175,0.9470431713971943,0.23676079284929857,0.03764353928671438,0.016991717000213565
317634,250221_JCG_8plate_4hour_24,Complete,0.00521,5,,,2021-02-26 02:38:26,PlateAgilent 2_Vial9,0.850577,99.56331388654448,0.04774381631259017,0.003083568056602924,0.13013120518539767,0.03253280129634942,0.3340706584206906,0.019566603956179967,0.9105476008188278,0.22763690020470695,0.03839294287097951,0.016478695851265934
317635,250221_JCG_8plate_4hour_25,Complete,0.00521,5,,,2021-02-26 02:55:38,PlateAgilent 2_Vial10,0.850577,99.58801402883604,0.044376056973678156,0.0030639041866264913,0.12095199381532896,0.03023799845383224,0.31391670487012807,0.018033232224403218,0.8556157066523862,0.21390392666309654,0.037572456522705314,0.01612075279744238
317636,250221_JCG_8plate_4hour_26,Complete,,,0.00502,5,2021-02-26 03:12:13,PlateAgilent 2_Vial11,0.8979020000000001,93.75227745744176,3.037733048949439,0.06026549980235018,8.279687155780643,2.0699217889451607,2.3204469451995258,0.1322492835247822,6.324642244150902,1.5811605610377255,0.09612371288160207,0.7934188355276639
317637,250221_JCG_8plate_4hour_27,Complete,0.00513,5,,,2021-02-26 03:28:09,PlateAgilent 2_Vial12,0.8561270000000001,99.25003495604625,0.07343039423880283,0.004544144401587877,0.2001428967674388,0.0500357241918597,0.6078338031442594,0.04226385513330297,1.6567202093295557,0.4141800523323889,0.03821883981492864,0.030482006755771965
317638,250221_JCG_8plate_4hour_28,Complete,0.0053,5,,,2021-02-26 03:44:43,PlateAgilent 2_Vial13,0.8550770000000001,99.49223240428523,0.054142674463952205,0.0032688559836118705,0.14757202134461125,0.03689300533615281,0.3951597682888619,0.026869816321936947,1.077052922446248,0.269263230611562,0.03810506198333975,0.0203600909786203
317639,250221_JCG_8plate_4hour_29,Complete,0.00515,5,,,2021-02-26 04:01:22,PlateAgilent 2_Vial14,0.850577,99.55545224652315,0.04766910553635169,0.0027399139540817507,0.1299275724617671,0.03248189311544177,0.3422619059846508,0.022289186705678275,0.9328737783177345,0.23321844457943364,0.03750657871304516,0.017110163242796315
317640,250221_JCG_8plate_4hour_30,Complete,,,0.0049,5,2021-02-26 04:17:52,PlateAgilent 2_Vial15,0.895127,93.99168197901614,2.7136456676832283,0.04640263918338256,7.396350113064388,1.849087528266097,2.387876619702247,0.13417020884141,6.508429496322956,1.627107374080739,0.09665306975093879,0.810142663847446
317641,250221_JCG_8plate_4hour_31,Complete,,,0.00495,5,2021-02-26 04:34:36,PlateAgilent 3_Vial1,0.892352,93.12357606149865,3.152171565112731,0.06534984286338918,8.591602356074985,2.147900589018746,2.7735599815691865,0.13340564253930245,7.5596533945362525,1.8899133486340631,0.09676650274437004,0.8539258890750625
317642,250221_JCG_8plate_4hour_32,Complete,0.00482,5,,,2021-02-26 04:50:27,PlateAgilent 3_Vial2,0.850577,99.10235671321477,0.0836583994016921,0.005532003701527038,0.2280204889099477,0.057005122227486923,0.7411886276389498,0.05357769608384758,2.0201939608864676,0.5050484902216169,0.03871675881681421,0.03407950092777593
317643,250221_JCG_8plate_4hour_33,Complete,0.00498,5,,,2021-02-26 05:06:46,PlateAgilent 3_Vial3,0.8532770000000001,99.42523418223645,0.05990809560972799,0.0037466605290719197,0.1632863328522846,0.04082158321307115,0.45472194166919505,0.034133154599699414,1.2393964048921713,0.3098491012230428,0.038165801224408956,0.021969979260220054
317644,250221_JCG_8plate_4hour_34,Complete,0.00522,5,,,2021-02-26 05:23:27,PlateAgilent 3_Vial4,0.8561270000000001,99.51040806372927,0.051403601360194055,0.0032745784685423067,0.140106365860574,0.0350265914651435,0.3816095364793713,0.027442145296423123,1.0401202234687357,0.2600300558671839,0.038082778755597305,0.018496019675567833
